"route","handler_key","domain","cross_domain","legacy_stores","app_state_reads","app_state_writes","mutation","auth_required","permission","resolution","source_file","note"
"POST /api/auth/change-pin","auth.changePin","identity","","","auditEvents|sessions|users","auditEvents|meta|sessions|users","true","true","","resolved","backend/auth/auth.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
"POST /api/verifica","vat.verify","app_meta","","","","","true","true","","resolved","backend/modules/external-lookups/external-lookups.handlers.js",""
"GET /api/ip-coords","ip.coords","app_meta","","","","","false","true","","resolved","backend/modules/external-lookups/external-lookups.handlers.js",""
"GET /api/city-search","city.search","app_meta","","","","","false","true","","resolved","backend/modules/external-lookups/external-lookups.handlers.js",""
"GET /api/mobile/battery","mobile.battery","operations","","","","","false","true","","resolved","backend/modules/mobile-battery/mobile-battery.handlers.js",""
"GET /api/mobile/battery/events","mobile.batteryEvents","operations","","","","","false","false","","resolved","backend/modules/mobile-battery/mobile-battery.handlers.js",""
"POST /api/settings/mobile-devices/status","mobile.batteryDevices","operations","","","","","false","true","","resolved","backend/modules/mobile-battery/mobile-battery.handlers.js",""
"POST /api/menu/catalog","menu.catalog","catalog","","posSettings","auditEvents|menuItems|posSettings|sessions|users","auditEvents|meta|sessions","false","true","","resolved","backend/modules/menu/menu.handlers.js",""
"POST /api/settings/menu","settings.menu","catalog","","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|menuItems|meta|posSettings|sessions","true","true","manage_menu","resolved","backend/modules/menu/menu.handlers.js",""
"POST /api/settings/menu/suggestions","settings.menuSuggestions","catalog","","posSettings|integration","auditEvents|integration|menuItems|posSettings|sessions|users","auditEvents|meta|sessions","false","true","manage_menu","resolved","backend/modules/menu/menu.handlers.js",""
"GET /api/flags","postazione.flags","operations","","","","","false","false","","resolved","backend/modules/postazione-actions/postazione-actions.handlers.js",""
"POST /api/actions","postazione.actions","operations","","integration","auditEvents|integration|sessions|users","auditEvents|integration|meta|sessions","true","true","manage_menu","resolved","backend/modules/postazione-actions/postazione-actions.handlers.js",""
"POST /api/settings/pos/users","users.list","identity","","posSettings","meta|posSettings|sessions|userGroups|users","meta|sessions","true","true","manage_users","resolved","backend/users/users.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
"POST /api/settings/pos/users/save","users.save","identity","","posSettings","auditEvents|meta|posSettings|sessions|userGroups|users","auditEvents|meta|sessions|userGroups|users","true","true","manage_users","resolved","backend/users/users.handlers.js","Letture e scritture unite a quelle verificate a mano nel pilot identity."
"GET /api/app-state","appState.get","app_meta","catalog|crm|payments|sales","posSettings|integration","auditEvents|integration|menuItems|meta|payments|posSettings|saleSessionTemplates|saleSessions|sessions|smartCustomers|solarClosures|users","","false","true","","resolved","backend/modules/app-state/app-state.handlers.js",""
"POST /api/app-state/sync","appState.sync","app_meta","catalog|crm|payments|sales","posSettings|integration","auditEvents|integration|menuItems|meta|payments|posSettings|saleSessionTemplates|saleSessions|sessions|smartCustomers|solarClosures|users","meta|solarClosures","true","true","","resolved","backend/modules/app-state/app-state.handlers.js",""
"POST /api/maintenance/app-state/reset","appState.reset","app_meta","catalog|crm|operations|payments|reservations|sales","posSettings|integration","menuItems|posSettings|saleSessions|sessions|users","auditEvents|integration|menuItems|meta|orders|payments|posSettings|printSpoolJobs|reservations|rooms|saleSessionTemplates|saleSessions|sessions|smartCustomers|solarClosures|tableGroups|tables|userGroups|users","true","true","manage_users","resolved","backend/modules/app-state/app-state.handlers.js","Reset completo dell app-state: riscrive ogni collezione. Dichiarato a mano, l analisi statica non attraversa resetAppState iniettato."
"POST /api/app-state/reset","appState.reset","app_meta","catalog|crm|operations|payments|reservations|sales","posSettings|integration","menuItems|posSettings|saleSessions|sessions|users","auditEvents|integration|menuItems|meta|orders|payments|posSettings|printSpoolJobs|reservations|rooms|saleSessionTemplates|saleSessions|sessions|smartCustomers|solarClosures|tableGroups|tables|userGroups|users","true","true","manage_users","resolved","backend/modules/app-state/app-state.handlers.js","Reset completo dell app-state: riscrive ogni collezione. Dichiarato a mano, l analisi statica non attraversa resetAppState iniettato."
"GET /api/mock-db","appState.get","app_meta","catalog|crm|payments|sales","posSettings|integration","auditEvents|integration|menuItems|meta|payments|posSettings|saleSessionTemplates|saleSessions|sessions|smartCustomers|solarClosures|users","","false","true","manage_users","resolved","backend/modules/app-state/app-state.handlers.js",""
"POST /api/mock-db/reset","appState.reset","app_meta","catalog|crm|operations|payments|reservations|sales","posSettings|integration","menuItems|posSettings|saleSessions|sessions|users","auditEvents|integration|menuItems|meta|orders|payments|posSettings|printSpoolJobs|reservations|rooms|saleSessionTemplates|saleSessions|sessions|smartCustomers|solarClosures|tableGroups|tables|userGroups|users","true","true","manage_users","resolved","backend/modules/app-state/app-state.handlers.js","Reset completo dell app-state: riscrive ogni collezione. Dichiarato a mano, l analisi statica non attraversa resetAppState iniettato."
"GET /api/integration/menu","integration.menu","catalog","","posSettings|integration","integration|menuItems|meta|posSettings|sessions|users","","false","false","","resolved","backend/modules/menu/integration-menu.handlers.js",""
"GET /api/integration/menu/top-sold","integration.menuTopSold","catalog","payments","integration","integration|payments","","false","false","","resolved","backend/modules/menu/integration-menu.handlers.js",""
"POST /api/integration/menu","integration.menu","catalog","","posSettings|integration","integration|menuItems|meta|posSettings|sessions|users","","true","true","manage_menu","resolved","backend/modules/menu/integration-menu.handlers.js",""
"POST /api/integration/drawer/open","integration.drawerOpen","operations","catalog","posSettings","menuItems|posSettings|users","","true","true","open_drawer","resolved","backend/modules/integration/misc.handlers.js",""
"POST /api/integration/print","integration.print","operations","catalog","posSettings|integration","auditEvents|integration|menuItems|posSettings|printSpoolJobs|sessions|users","auditEvents|meta|printSpoolJobs|sessions","true","true","print_orders","resolved","backend/modules/integration/print.handlers.js","Avvolta da commandInboxPilot.wrap: risolta a mano sulla funzione sottostante."
"GET /api/integration/waiters","integration.waiters","operations","","posSettings|integration","integration|meta|posSettings|sessions|users","integration|meta","false","false","","resolved","backend/modules/integration/misc.handlers.js",""
"POST /api/mobile/waiter-pause/status","mobile.waiterPauseStatus","operations","","integration","auditEvents|integration|sessions|users","auditEvents|integration|meta|sessions","false","true","","resolved","backend/server.js",""
"POST /api/mobile/waiter-pause/start","mobile.waiterPauseStart","operations","","posSettings|integration","auditEvents|integration|posSettings|sessions|users","auditEvents|integration|meta|sessions","true","true","","resolved","backend/modules/notifications/waiter-pause.handlers.js",""
"POST /api/mobile/waiter-pause/stop","mobile.waiterPauseStop","operations","","posSettings|integration","auditEvents|integration|posSettings|sessions|users","auditEvents|integration|meta|sessions","true","true","","resolved","backend/modules/notifications/waiter-pause.handlers.js",""
"POST /api/integration/waiter-pause/defer-call","integration.waiterPauseDeferCall","operations","","integration","auditEvents|integration|users","auditEvents|integration|meta","true","false","","resolved","backend/modules/notifications/waiter-pause.handlers.js",""
"GET /api/integration/layout","integration.layout","sales","","","","","false","false","","resolved","backend/server.js",""
"GET /api/integration/table-groups","integration.tableGroups","sales","catalog","posSettings|integration","integration|menuItems|posSettings","integration|meta","false","true","","resolved","backend/modules/notifications/waiter-pause.handlers.js",""
"POST /api/integration/table-groups/save","integration.tableGroupsSave","sales","catalog|operations","posSettings|integration","integration|menuItems|posSettings|printSpoolJobs|users","integration|meta|posSettings|printSpoolJobs","true","true","manage_tables","resolved","backend/modules/notifications/waiter-pause.handlers.js",""
"GET /api/integration/stations/active","integration.stationsActive","operations","","","","","false","false","","resolved","backend/modules/integration/station-snapshot.handlers.js",""
"GET /api/integration/stations/state","integration.stationsState","operations","","","","","false","false","","resolved","backend/modules/integration/station-snapshot.handlers.js",""
"POST /api/integration/stations/state","integration.stationsStateUpsert","operations","catalog","posSettings|integration","auditEvents|integration|menuItems|posSettings|sessions|users","auditEvents|integration|meta|sessions","true","false","","resolved","backend/modules/integration/station-state-upsert.handlers.js",""
"POST /api/integration/layout/table/sync","integration.tableSync","sales","catalog","posSettings|integration","auditEvents|integration|menuItems|posSettings|sessions|users","auditEvents|integration|meta|posSettings|sessions","true","true","","resolved","backend/modules/pos-rooms/room-change.handlers.js",""
"POST /api/integration/layout/table/move","integration.tableMove","sales","catalog|operations|payments","posSettings|integration","auditEvents|integration|menuItems|payments|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|posSettings|printSpoolJobs|sessions","true","true","manage_tables","resolved","backend/modules/integration/table-move.handlers.js",""
"POST /api/integration/layout/table/room-move/request","integration.tableRoomMoveRequest","reservations","","posSettings|integration","auditEvents|integration|posSettings|sessions|users","auditEvents|integration|meta|sessions","true","true","","resolved","backend/modules/table-room-move/room-move.handlers.js",""
"POST /api/integration/layout/table/room-move/status","integration.tableRoomMoveStatus","reservations","","integration","auditEvents|integration|sessions|users","auditEvents|integration|meta|sessions","true","true","","resolved","backend/modules/table-room-move/room-move.handlers.js",""
"POST /api/integration/layout/table/room-move/pending","integration.tableRoomMovePending","reservations","","","auditEvents|sessions|users","auditEvents|meta|sessions","true","true","","resolved","backend/modules/table-room-move/room-move.handlers.js",""
"POST /api/integration/layout/table/room-move/resolve","integration.tableRoomMoveResolve","reservations","","integration","auditEvents|integration|sessions|users","auditEvents|integration|meta|sessions","true","true","approve_room_change","resolved","backend/modules/table-room-move/room-move.handlers.js",""
"POST /api/integration/orders/create","integration.orderCreate","sales","catalog","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|sessions|users","auditEvents|integration|meta|posSettings|sessions","true","true","","resolved","backend/modules/integration/order-create.handlers.js",""
"GET /api/integration/orders","integration.orders","sales","catalog","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|users","","false","false","","resolved","backend/modules/integration/order-list.handlers.js",""
"POST /api/integration/orders/sync","integration.orderSync","sales","catalog","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|sessions|users","auditEvents|integration|meta|posSettings|sessions","true","true","","resolved","backend/modules/integration/order-sync.handlers.js",""
"POST /api/integration/orders/line/split","integration.orderLineSplit","sales","catalog","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|sessions|users","auditEvents|integration|meta|posSettings|sessions","true","true","","resolved","backend/modules/integration/order-sync.handlers.js",""
"POST /api/integration/orders/line/price-override","integration.orderLinePriceOverride","sales","catalog","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|sessions|users","auditEvents|integration|meta|posSettings|sessions","true","true","override_order_price","resolved","backend/modules/integration/order-sync.handlers.js",""
"POST /api/integration/orders/correct","integration.orderCorrect","sales","catalog|operations","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|posSettings|printSpoolJobs|sessions","true","true","","resolved","backend/modules/integration/order-correction.handlers.js",""
"POST /api/integration/orders/cancel","integration.orderCancel","sales","catalog|operations","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|posSettings|printSpoolJobs|sessions","true","true","","resolved","backend/modules/integration/order-correction.handlers.js",""
"GET /api/integration/orders/correct/pending","integration.orderCorrectPending","sales","","","","","false","true","","resolved","backend/modules/integration/order-correction.handlers.js",""
"POST /api/integration/orders/correct/resolve","integration.orderCorrectResolve","sales","catalog|operations","posSettings|integration","auditEvents|integration|menuItems|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|posSettings|printSpoolJobs|sessions","true","true","approve_room_change","resolved","backend/modules/integration/order-correction.handlers.js",""
"POST /api/integration/orders/comp","integration.orderComp","sales","catalog|operations|payments","posSettings|integration","auditEvents|integration|menuItems|meta|payments|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|payments|posSettings|printSpoolJobs|sessions","true","true","","resolved","backend/modules/integration/order-comp.handlers.js",""
"POST /api/integration/orders/storno","integration.orderStorno","sales","catalog|operations|payments","posSettings|integration","auditEvents|integration|menuItems|meta|payments|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|payments|posSettings|printSpoolJobs|sessions","true","true","","resolved","backend/modules/integration/order-comp.handlers.js",""
"POST /api/internal/orders/async-appstate-flush","integration.orderAsyncAppStateFlush","sales","","posSettings|integration","integration|meta|posSettings","meta|orders","true","true","","resolved","backend/server.js","Flush asincrono degli ordini: scrittura dichiarata a mano, la delega passa da un servizio iniettato a metodo."
"POST /api/internal/print-spool/legacy-mirror","integration.printSpoolLegacyMirror","operations","","","","meta|printSpoolJobs","true","true","","resolved","backend/server.js","Mirror dello spool di stampa: scrittura dichiarata a mano, delega iniettata a metodo."
"POST /api/internal/print-spool/auto-print","integration.printSpoolAutoPrint","operations","","","","meta|printSpoolJobs","true","true","","resolved","backend/server.js","Auto-print dello spool: scrittura dichiarata a mano, delega iniettata a metodo."
"POST /api/orders/replacement/bar-charge","integration.barChargeReplacement","sales","catalog|operations","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|posSettings|printSpoolJobs|sessions","true","true","create_bar_replacement","resolved","backend/modules/integration/bar-charge.handlers.js",""
"POST /api/integration/orders/replacement/bar-charge","integration.barChargeReplacement","sales","catalog|operations","posSettings|integration","auditEvents|integration|menuItems|meta|posSettings|printSpoolJobs|sessions|users","auditEvents|integration|meta|posSettings|printSpoolJobs|sessions","true","true","create_bar_replacement","resolved","backend/modules/integration/bar-charge.handlers.js",""
"POST /api/integration/orders/transfer/request","integration.orderTransferRequest","sales","","posSettings|integration","integration|meta|posSettings","integration|meta","true","true","","resolved","backend/modules/integration/order-transfer-request.handlers.js",""
"POST /api/integration/orders/transfer/resolve","integration.orderTransferResolve","sales","","posSettings|integration","integration|meta|posSettings","integration|meta","true","true","approve_room_change","resolved","backend/modules/integration/order-create.handlers.js",""
"POST /api/integration/orders/transfer/force","integration.orderTransferForce","sales","","posSettings|integration","integration|meta|posSettings","integration|meta","true","true","approve_room_change","resolved","backend/modules/integration/order-create.handlers.js",""
"POST /api/integration/notifications/publish","integration.notificationPublish","messaging","","integration","integration|sessions|users","integration|meta","true","false","","resolved","backend/modules/notifications/notifications.handlers.js",""
"GET /api/integration/notifications/pull","integration.notificationsPull","messaging","","posSettings|integration","integration|posSettings|sessions|users","integration|meta","false","false","","resolved","backend/modules/notifications/notifications.handlers.js",""
"GET /api/integration/notifications/stream","integration.notificationsStream","messaging","","","sessions|users","meta|sessions","false","false","","resolved","backend/server.js",""
"POST /api/integration/notifications/ack","integration.notificationAck","messaging","","posSettings|integration","integration|posSettings|sessions|users","integration|meta","true","false","","resolved","backend/modules/notifications/notifications.handlers.js","Avvolta da commandInboxPilot.wrap: risolta a mano sulla funzione sottostante."
"GET /api/realtime/replay","realtime.replay","messaging","","","","","false","false","","resolved","backend/modules/integration/misc.handlers.js",""
"GET /api/tables/:tableId","scopedReads.table","sales","","","","","false","false","","resolved","backend/modules/scoped-reads/scoped-reads.handlers.js",""
"GET /api/tables/:tableId/open-order","scopedReads.tableOpenOrder","sales","","integration","integration","","false","false","","resolved","backend/modules/scoped-reads/scoped-reads.handlers.js",""
"GET /api/rooms/:roomId/tables","scopedReads.roomTables","sales","","","","","false","false","","resolved","backend/modules/scoped-reads/scoped-reads.handlers.js",""
"GET /api/notifications","scopedReads.notifications","messaging","","","","","false","false","","resolved","backend/modules/scoped-reads/scoped-reads.handlers.js",""
"GET /api/print/jobs/:jobId","scopedReads.printJob","operations","","","","","false","false","","resolved","backend/modules/scoped-reads/scoped-reads.handlers.js",""
"POST /api/pos/rooms","pos.rooms","sales","","posSettings","auditEvents|posSettings|sessions|users","auditEvents|meta|sessions","false","true","","resolved","backend/modules/pos-rooms/pos-rooms.handlers.js",""
"POST /api/pos/room-change/request","pos.roomChangeRequest","reservations","","posSettings","auditEvents|posSettings|sessions|users","auditEvents|meta|sessions|users","true","true","","resolved","backend/modules/pos-rooms/room-change.handlers.js",""
"POST /api/pos/room-change/approve","pos.roomChangeApprove","reservations","","posSettings","posSettings|sessions|users","meta|sessions|users","true","true","approve_room_change","resolved","backend/modules/pos-rooms/room-change.handlers.js",""
"POST /api/pos/room-change/cancel","pos.roomChangeCancel","reservations","","","","meta","true","true","approve_room_change","resolved","backend/modules/pos-rooms/room-change.handlers.js",""
"POST /api/public/reservations/list","pos.publicReservationsList","reservations","","posSettings","posSettings","","false","false","","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/public/reservations/availability","pos.publicReservationsAvailability","reservations","","posSettings","posSettings","","false","false","","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/public/reservations/create","pos.publicReservationsCreate","reservations","","posSettings","posSettings","meta","true","false","","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/list","pos.reservationsList","reservations","","posSettings","posSettings|sessions","meta|sessions","false","true","","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/create","pos.reservationsCreate","reservations","","posSettings","posSettings|sessions","meta|sessions","true","true","manage_reservations","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/lock/acquire","pos.reservationsLockAcquire","reservations","","posSettings","posSettings|sessions","meta|sessions","true","true","manage_reservations","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/lock/release","pos.reservationsLockRelease","reservations","","","auditEvents|sessions|users","auditEvents|meta|sessions","true","true","manage_reservations","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/update","pos.reservationsUpdate","reservations","","posSettings","posSettings|sessions","meta|sessions","true","true","manage_reservations","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/status","pos.reservationsStatus","reservations","catalog","posSettings|integration","integration|menuItems|posSettings|sessions|users","integration|meta|posSettings|sessions","true","true","manage_reservations","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/delete","pos.reservationsDelete","reservations","","posSettings","posSettings|sessions","meta|sessions","true","true","manage_reservations","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/availability","pos.reservationsAvailability","reservations","","posSettings","posSettings|sessions","meta|sessions","true","true","","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/pos/reservations/lock/state","pos.reservationsLockState","reservations","","","auditEvents|sessions|users","auditEvents|meta|sessions","true","true","","resolved","backend/modules/reservations/reservations.handlers.js",""
"POST /api/settings/configuration/snapshot","settings.configurationSnapshot","configuration","catalog","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|meta|sessions","false","true","","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/pos","settings.pos","configuration","catalog","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|meta|sessions","false","true","","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/pos/areas","settings.posAreas","configuration","catalog|operations","posSettings","auditEvents|menuItems|meta|posSettings|printSpoolJobs|sessions|users","auditEvents|meta|sessions","false","true","","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/pos/areas/save","settings.savePosAreas","configuration","catalog|operations","posSettings","auditEvents|menuItems|meta|posSettings|printSpoolJobs|sessions|users","auditEvents|meta|posSettings|sessions","true","true","manage_settings","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/pos/print-preferences/save","settings.savePrintPreferences","configuration","catalog","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|meta|posSettings|sessions","true","true","manage_settings","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/pos/general/save","settings.saveGeneral","configuration","catalog","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|meta|posSettings|sessions","true","true","manage_settings","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/pos/payment-methods","settings.savePaymentMethods","configuration","catalog","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|meta|posSettings|sessions","true","true","manage_settings","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/user/payment-preferences","settings.userPaymentPreferences","configuration","","","auditEvents|sessions|users","auditEvents|meta|sessions","false","true","","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/user/payment-preferences/save","settings.saveUserPaymentPreferences","configuration","","","auditEvents|meta|sessions|users","auditEvents|meta|sessions","true","true","","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/mobile-devices/save","settings.saveMobileDevices","configuration","catalog","posSettings","auditEvents|menuItems|meta|posSettings|sessions|users","auditEvents|meta|posSettings|sessions","true","true","manage_settings","resolved","backend/modules/settings/settings.handlers.js",""
"POST /api/settings/mobile-devices/ring","settings.ringMobileDevice","configuration","catalog","posSettings|integration","auditEvents|integration|menuItems|posSettings|sessions|users","auditEvents|integration|meta|sessions","true","true","manage_settings","resolved","backend/modules/settings/settings.handlers.js",""
"GET /api/automatic-cash/settings","automaticCash.settings","payments","catalog","posSettings","menuItems|posSettings|users","","false","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"PUT /api/automatic-cash/settings","automaticCash.saveSettings","payments","catalog","posSettings","menuItems|meta|posSettings|sessions|users","meta|posSettings|sessions","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/config-sets","automaticCash.uploadConfigSet","payments","catalog","posSettings","menuItems|meta|posSettings|sessions|users","meta|posSettings|sessions","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/config-sets/default-100","automaticCash.uploadDefaultConfigSet","payments","catalog","posSettings","menuItems|meta|posSettings|sessions|users","meta|posSettings|sessions","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/reserve-configs","automaticCash.uploadReserveConfig","payments","catalog","posSettings","menuItems|meta|posSettings|sessions|users","meta|posSettings|sessions","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"GET /api/automatic-cash/status","automaticCash.status","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"GET /api/automatic-cash/gateway/state","automaticCash.gatewayState","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/gateway/restart","automaticCash.gatewayRestart","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/gateway/reset","automaticCash.gatewayReset","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"GET /api/automatic-cash/cash-movements","automaticCash.cashMovements","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"GET /api/automatic-cash/cash-movements/active","automaticCash.activeCashMovement","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"GET /api/automatic-cash/cash-movements/withdrawal-availability","automaticCash.cashMovementWithdrawalAvailability","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"GET /api/automatic-cash/cash-movements/:movementId/state","automaticCash.cashMovementState","payments","catalog","posSettings","menuItems|meta|posSettings|sessions|users","meta|posSettings|sessions","false","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"POST /api/automatic-cash/cash-movements/start","automaticCash.startCashMovement","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"POST /api/automatic-cash/cash-movements/:movementId/prepare","automaticCash.prepareCashMovement","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"POST /api/automatic-cash/cash-movements/:movementId/complete","automaticCash.completeCashMovement","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"POST /api/automatic-cash/cash-movements/:movementId/print","automaticCash.printCashMovementReport","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"POST /api/automatic-cash/cash-movements/:movementId/cancel","automaticCash.cancelCashMovement","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/cash-movement.handlers.js",""
"GET /api/automatic-cash/cash-float/preflight","automaticCash.cashFloatPreflight","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"GET /api/automatic-cash/cash-float/active","automaticCash.activeCashFloatWorkflow","payments","catalog","posSettings","menuItems|posSettings|sessions|users","meta|sessions","false","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/cash-float/generate","automaticCash.generateCashFloat","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/cash-float/confirm-removed","automaticCash.confirmCashFloatRemoved","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
"POST /api/automatic-cash/cash-float/ticket/printed","automaticCash.cashFloatTicketPrinted","payments","","","","","true","true","","resolved","backend/modules/automatic-cash/automatic-cash.handlers.js",""
